2026-05-20_00:29:36 formal_watchdog_start threshold_mb=24000
2026-05-20_01:57:21 used_mb=7346 total_mb=32768
2026-05-20_01:57:51 used_mb=7346 total_mb=32768
2026-05-20_01:58:22 used_mb=7346 total_mb=32768
2026-05-20_01:58:52 used_mb=7346 total_mb=32768
2026-05-20_01:59:22 used_mb=7346 total_mb=32768
2026-05-20_01:59:52 used_mb=8646 total_mb=32768
2026-05-20_02:00:22 used_mb=9326 total_mb=32768
2026-05-20_02:00:52 used_mb=9326 total_mb=32768
2026-05-20_02:01:22 used_mb=9328 total_mb=32768
2026-05-20_02:01:52 used_mb=9328 total_mb=32768
2026-05-20_02:02:22 used_mb=9328 total_mb=32768
2026-05-20_02:02:52 used_mb=9328 total_mb=32768
2026-05-20_02:03:22 used_mb=9328 total_mb=32768
2026-05-20_02:03:52 used_mb=9328 total_mb=32768
2026-05-20_02:04:23 used_mb=9328 total_mb=32768
2026-05-20_02:04:53 used_mb=9330 total_mb=32768
2026-05-20_02:05:23 used_mb=9330 total_mb=32768
2026-05-20_02:05:53 used_mb=9330 total_mb=32768
2026-05-20_02:06:23 used_mb=9330 total_mb=32768
2026-05-20_02:06:53 used_mb=9330 total_mb=32768
2026-05-20_02:07:23 used_mb=9330 total_mb=32768
2026-05-20_02:07:53 used_mb=9330 total_mb=32768
2026-05-20_02:08:23 used_mb=9330 total_mb=32768
2026-05-20_02:08:53 used_mb=9330 total_mb=32768
2026-05-20_02:09:23 used_mb=9330 total_mb=32768
2026-05-20_02:09:53 used_mb=9330 total_mb=32768
2026-05-20_02:10:24 used_mb=9330 total_mb=32768
2026-05-20_02:10:54 used_mb=9330 total_mb=32768
2026-05-20_02:11:24 used_mb=9330 total_mb=32768
2026-05-20_02:11:54 used_mb=9330 total_mb=32768
2026-05-20_02:12:24 used_mb=9330 total_mb=32768
2026-05-20_02:12:54 used_mb=9330 total_mb=32768
2026-05-20_02:13:24 used_mb=9330 total_mb=32768
2026-05-20_02:13:54 used_mb=9330 total_mb=32768
2026-05-20_02:14:24 used_mb=9330 total_mb=32768
