2026-05-20_22:58:21 combined_watchdog_start threshold_mb=24000
2026-05-21_00:14:02 used_mb=13234 total_mb=32768
2026-05-21_00:14:32 used_mb=13234 total_mb=32768
2026-05-21_00:15:02 used_mb=13234 total_mb=32768
2026-05-21_00:15:33 used_mb=13234 total_mb=32768
2026-05-21_00:16:03 used_mb=13234 total_mb=32768
2026-05-21_00:16:33 used_mb=13234 total_mb=32768
2026-05-21_00:17:03 used_mb=13234 total_mb=32768
2026-05-21_00:17:33 used_mb=13234 total_mb=32768
2026-05-21_00:18:03 used_mb=13234 total_mb=32768
2026-05-21_00:18:33 used_mb=13234 total_mb=32768
2026-05-21_00:19:03 used_mb=13234 total_mb=32768
2026-05-21_00:19:33 used_mb=13234 total_mb=32768
2026-05-21_00:20:03 used_mb=13234 total_mb=32768
2026-05-21_00:20:33 used_mb=13234 total_mb=32768
2026-05-21_00:21:03 used_mb=13234 total_mb=32768
2026-05-21_00:21:33 used_mb=13234 total_mb=32768
2026-05-21_00:22:04 used_mb=13234 total_mb=32768
2026-05-21_00:22:34 used_mb=13234 total_mb=32768
2026-05-21_00:23:04 used_mb=13234 total_mb=32768
2026-05-21_00:23:34 used_mb=13234 total_mb=32768
2026-05-21_00:24:04 used_mb=13234 total_mb=32768
2026-05-21_00:24:34 used_mb=13234 total_mb=32768
2026-05-21_00:25:04 used_mb=13234 total_mb=32768
2026-05-21_00:25:34 used_mb=13234 total_mb=32768
2026-05-21_00:26:04 used_mb=13234 total_mb=32768
2026-05-21_00:26:34 used_mb=13234 total_mb=32768
2026-05-21_00:27:04 used_mb=13234 total_mb=32768
2026-05-21_00:27:34 used_mb=13234 total_mb=32768
2026-05-21_00:28:04 used_mb=13234 total_mb=32768
2026-05-21_00:28:35 used_mb=13234 total_mb=32768
2026-05-21_00:29:05 used_mb=13234 total_mb=32768
2026-05-21_00:29:35 used_mb=13234 total_mb=32768
2026-05-21_00:30:05 used_mb=13234 total_mb=32768
2026-05-21_00:30:35 used_mb=13234 total_mb=32768
2026-05-21_00:31:05 used_mb=13234 total_mb=32768
2026-05-21_00:31:35 used_mb=13234 total_mb=32768
2026-05-21_00:32:05 used_mb=13234 total_mb=32768
2026-05-21_00:32:35 used_mb=13234 total_mb=32768
2026-05-21_00:33:05 used_mb=13234 total_mb=32768
2026-05-21_00:33:35 used_mb=13234 total_mb=32768
2026-05-21_00:34:05 used_mb=13234 total_mb=32768
2026-05-21_00:34:35 used_mb=13234 total_mb=32768
2026-05-21_00:35:06 used_mb=13234 total_mb=32768
2026-05-21_00:35:36 used_mb=13234 total_mb=32768
2026-05-21_00:36:06 used_mb=13234 total_mb=32768
2026-05-21_00:36:36 used_mb=13234 total_mb=32768
2026-05-21_00:37:06 used_mb=13234 total_mb=32768
2026-05-21_00:37:36 used_mb=13234 total_mb=32768
2026-05-21_00:38:06 used_mb=13234 total_mb=32768
2026-05-21_00:38:36 used_mb=13234 total_mb=32768
2026-05-21_00:39:06 used_mb=13234 total_mb=32768
2026-05-21_00:39:36 used_mb=13234 total_mb=32768
2026-05-21_00:40:06 used_mb=13234 total_mb=32768
2026-05-21_00:40:36 used_mb=13234 total_mb=32768
2026-05-21_00:41:06 used_mb=13234 total_mb=32768
2026-05-21_00:41:37 used_mb=13234 total_mb=32768
2026-05-21_00:42:07 used_mb=13234 total_mb=32768
2026-05-21_00:42:37 used_mb=13234 total_mb=32768
2026-05-21_00:43:07 used_mb=13234 total_mb=32768
2026-05-21_00:43:37 used_mb=13234 total_mb=32768
2026-05-21_00:44:07 used_mb=13234 total_mb=32768
2026-05-21_00:44:37 used_mb=13234 total_mb=32768
2026-05-21_00:45:07 used_mb=13234 total_mb=32768
2026-05-21_00:45:37 used_mb=13234 total_mb=32768
2026-05-21_00:46:07 used_mb=13234 total_mb=32768
2026-05-21_00:46:37 used_mb=13234 total_mb=32768
2026-05-21_00:47:07 used_mb=13234 total_mb=32768
2026-05-21_00:47:37 used_mb=13234 total_mb=32768
2026-05-21_00:48:08 used_mb=13234 total_mb=32768
2026-05-21_00:48:38 used_mb=13234 total_mb=32768
2026-05-21_00:49:08 used_mb=13234 total_mb=32768
2026-05-21_00:49:38 used_mb=13234 total_mb=32768
2026-05-21_00:50:08 used_mb=13234 total_mb=32768
2026-05-21_00:50:38 used_mb=13234 total_mb=32768
2026-05-21_00:51:08 used_mb=13234 total_mb=32768
2026-05-21_00:51:38 used_mb=13234 total_mb=32768
2026-05-21_00:52:08 used_mb=13234 total_mb=32768
2026-05-21_00:52:38 used_mb=13234 total_mb=32768
2026-05-21_00:53:08 used_mb=13234 total_mb=32768
2026-05-21_00:53:38 used_mb=13234 total_mb=32768
2026-05-21_00:54:08 used_mb=13234 total_mb=32768
2026-05-21_00:54:39 used_mb=13234 total_mb=32768
2026-05-21_00:55:09 used_mb=13234 total_mb=32768
2026-05-21_00:55:39 used_mb=13234 total_mb=32768
2026-05-21_00:56:09 used_mb=13234 total_mb=32768
2026-05-21_00:56:39 used_mb=13234 total_mb=32768
2026-05-21_00:57:09 used_mb=13234 total_mb=32768
2026-05-21_00:57:39 used_mb=13234 total_mb=32768
2026-05-21_00:58:09 used_mb=13234 total_mb=32768
2026-05-21_00:58:39 used_mb=13234 total_mb=32768
2026-05-21_00:59:09 used_mb=13234 total_mb=32768
2026-05-21_00:59:39 used_mb=13234 total_mb=32768
2026-05-21_01:00:09 used_mb=13234 total_mb=32768
2026-05-21_01:00:39 used_mb=13234 total_mb=32768
2026-05-21_01:01:10 used_mb=13234 total_mb=32768
2026-05-21_01:01:40 used_mb=13234 total_mb=32768
2026-05-21_01:02:10 used_mb=13234 total_mb=32768
2026-05-21_01:02:40 used_mb=13234 total_mb=32768
2026-05-21_01:03:10 used_mb=13234 total_mb=32768
